gridid,glat,glon,gpop,vmax_gust,vmax_sust,sust_duration
 1001,  32.5004, -86.4942,  54571,  0.00000,  0.00000,    0
 1003,  30.5489, -87.7624, 182265,  0.00000,  0.00000,    0
 1005,  31.8440, -85.3100,  27457,  0.00000,  0.00000,    0
 1007,  33.0309, -87.1277,  22915,  0.00000,  0.00000,    0
 1009,  33.9552, -86.5915,  57322,  0.00000,  0.00000,    0
 1011,  32.1163, -85.7012,  10914,  0.00000,  0.00000,    0
 1013,  31.7735, -86.6536,  20947,  0.00000,  0.00000,    0
 1015,  33.7255, -85.8195, 118572,  0.00000,  0.00000,    0
 1017,  32.8604, -85.2665,  34215,  0.00000,  0.00000,    0
 1019,  34.1793, -85.6292,  25989,  0.00000,  0.00000,    0
 1021,  32.8775, -86.6874,  43643,  0.00000,  0.00000,    0
 1023,  32.0166, -88.2642,  13859,  0.00000,  0.00000,    0
 1025,  31.6857, -87.8157,  25833,  0.00000,  0.00000,    0
 1027,  33.2724, -85.8202,  13932,  0.00000,  0.00000,    0
 1029,  33.6298, -85.4943,  14972,  0.00000,  0.00000,    0
 1031,  31.3544, -85.9047,  49948,  0.00000,  0.00000,    0
 1033,  34.7234, -87.6852,  54428,  0.00000,  0.00000,    0
 1035,  31.4187, -86.9965,  13228,  0.00000,  0.00000,    0
 1037,  32.9759, -86.1550,  11539,  0.00000,  0.00000,    0
 1039,  31.2824, -86.4109,  37765,  0.00000,  0.00000,    0
 1041,  31.7435, -86.2971,  13906,  0.00000,  0.00000,    0
 1043,  34.1624, -86.8318,  80406,  0.00000,  0.00000,    0
 1045,  31.3833, -85.6413,  50251,  0.00000,  0.00000,    0
 1047,  32.4088, -87.0350,  43820,  0.00000,  0.00000,    0
 1049,  34.4551, -85.8172,  71109,  0.00000,  0.00000,    0
 1051,  32.5597, -86.2256,  79303,  0.00000,  0.00000,    0
 1053,  31.0887, -87.2820,  38319,  0.00000,  0.00000,    0
 1055,  34.0137, -86.0254, 104430,  0.00000,  0.00000,    0
 1057,  33.7264, -87.7704,  17241,  0.00000,  0.00000,    0
 1059,  34.4605, -87.7936,  31704,  0.00000,  0.00000,    0
 1061,  31.0943, -85.7888,  26790,  0.00000,  0.00000,    0
 1063,  32.8305, -87.9240,   9045,  0.00000,  0.00000,    0
 1065,  32.7758, -87.6261,  15760,  0.00000,  0.00000,    0
